a_number,fco,date_file_open,last_name,first_name,middle_name,mother,father,aka_last_name,aka_first_name,dob,cob,coc,coa,poe,doe,sex,soc_sec_no,i_94_adm_num,passport_num,fbi_number,driver_license_no,finger_print_code,travel_document,ident_fin
A116675371,QAD,1152018,Gulgowski,Preston,,Donita,,Ernser,,5071960,HXIQW,CZCPE,P38 - CHILD OF P31 OR P36 ALIEN,UWS,10272017,F,234679902,26112979775,B33FIGNFUGEN01DIA6YF,DILU4KNX4A7L,V45NVWPN1JNBAK86Q6KR,AEOMSYRNUBNICVUGPUNB,AQFIHNCLUVIDFNWLBQSV,50578743
A370523955,FZI,4182019,Quitzon,Earnestine,,Ira,Fritz,,,2031992,MSJVM,DFWXB,U2M - 2ND PREF UNMAR SON/DAU OF USC,OBJ,6022020,F,485396443,79456339234,94JMBWOXI7YZBME0D5A8,EUAHBIN4F4T5,0OATZE3A9I8FLQ9B9BCY,RECQHVQUCVOLPIOSJJOU,LUMSNQPIUMXHTPSIGEIN,3403903496
A853401036,USC,10302018,Botsford,Gussie,Lehner,Bethann,,,,7191987,MCYQT,VGOJT,E14 - 203(b)(1) SPOUSE OF PRI WORKER,DDH,10152012,U,511342619,36815061412,FSQHG9XOB5SIT9O8BQS5,51CTYCOO8DMB,9XMUABCSEGZ5209V0PZW,YHARCTHEGYTOEABPWQGF,SHLNQGCUEFFJTTFURMTY,67305
A742870830,VQT,6152017,Raynor,Jeanice,,,,,September,5251943,QHKWC,EAKPS,P1A - ALIEN WITH ATHLETIC EVENT,IRN,12152017,U,168549008,56481002701,TSW3501UH0LUZTKEFV99,QC2F571EVY6M,S876KWTAPG5CSD47L89B,KSCHYYTEEKJTOYIPDMBC,GVGMTNFPKRLARWTEDOTH,84566
A309222467,RAB,10162015,Torp,Ernesto,Doyle,Janene,,,Phylicia,5031950,OXTXR,NDLAX,MR7 - CHILD OF US CIT UNDER PL94-241,SQN,10132019,U,439583256,96830904117,2BI1TKHJDGXF603FWWJG,14Z17ZNGKTVA,AU0PL31G63KN9ESP5MKD,QKHYYYOJCHRPNJVAULIU,ITGIOFTSFYCZHZFGFVYG,2236658551
A423293850,MAK,6292015,Osinski,Isreal,Kuvalis,,,Windler,Almeta,4181993,USTQV,LIQCJ,C42 - COND-ENTR SP ALIEN CLAS C41/46,AXO,12022018,M,717897612,82834162997,09RTSIVGNJ17S7BH2TTY,T6DRVE2UN024,62RIJUKD790HB8HMSJBZ,GSCDOMNVKQYAPPTVWSIL,DLKOUFNMGQTKLJDKZKCD,16929
A164724480,DSO,3282016,Kuvalis,Christopher,Gutmann,,Shelby,,Ozzie,5101936,XCLWK,YHFVM,P2 - EXHANGE ARTIST/ENTERTAINER,EWQ,6042018,M,153188633,42138684633,HHJHFP18CAYR70HY0C4Z,MB2X2LV8NJ94,562JNK5CZFE06N5BVK5P,JYAQBGMVDJGDCJJGNDDA,KEAAVDNMVPHMZLAZDBKU,3196906
A205496106,QED,10112013,Turner,Stacy,,Marcelle,,,Earlene,4221950,BXOOG,FKLOJ,M3 - ELIGIBLE ORPHAN ADOPTED ABROAD,SQB,10182015,U,174969751,61103613770,NHQXA1NWE21ROKM436NO,80BEDZC3FCVQ,HXY6J2O7J5K5Y18PQJRH,FPNFVBYKQKYRTQTXXIUO,WIANQNLUVNDUWNCEQGHB,4822538
A546308894,QVH,11302014,Kuhlman,Yi,Pfannerstill,Lynnette,Mary,,,7211995,LGYVG,OLGQM,CX2 - 203(a)(2) CHILD OF LPR EXEMPT,BLL,10242013,F,763848260,46321561486,ZQDC090NVIZ81UQ5TV7P,QX4YNIUK83ES,2F630TM7N04MMUHJTYA8,SJFVISICUGNMXKVTEJLM,HDYBUWMAWZMTTLJVNQQG,92666
A889016491,MSC,4012015,Howe,Carson,Berge,Jean,Deshawn,,Brock,7311992,GBANP,POFUH,H3B - SPECIAL EDUCATION TRAINING,HDX,1182014,F,763798827,63783365850,UJT773XVGV50FDCQ9PVX,P82DFAM03CK5,1DJ0YZ84LS5SPJNIX02Y,RABTUXMJQEIVTMELKQIK,VBWNYQYIWDTPVPWEDJRH,3107
A371981414,QJR,3142020,Conroy,Agnes,,Laurine,,Pouros,Manda,9111933,XODIX,YEZMT,SE8 - CHILD OF SE6,BIU,6232014,F,952424584,85290894327,145H6UN1AFRL1C2H5DHX,N1Z2Q6SU2T1G,8SIJJJCGEC7DS8HA39EP,SDEMBRLUVQSQGAKERPTF,VVCKXGBSQDJMNKYHPHRL,741377763
A858453489,PNA,9092019,Hermiston,Allyn,,,,,,1091972,OSNUQ,RTKQB,IB8 - CHILD OF IB6,BND,10062011,F,634109971,36378435493,SVE88MW26UIFOO8L97JQ,D91J9PZXL5OV,WNE5YVM6P7IDC6GJ68FH,ZHVEKCYULENRTCQGAPZB,BOAQGDJHSVCUCNJWTUXL,69934450
A657669861,QFA,6242019,Kohler,Virginia,,,,,Otha,8311968,LRKPJ,PISRD,T3 - 1ST PREF CHILD OF ALIEN CL T1,XCZ,4222018,M,309372118,78139878218,AUQB60R609SBEKDOFB1A,1EWUQNI11WC8,ZSKUQ9GDD4S8551RT8WS,MBXIHFKBTXLRMWLREJNJ,VGRESPWBLMFYOBEERDZF,9861067
A764037620,YDX,1082015,Carter,Gary,Wilderman,,Zack,Kris,Brock,2071935,XQJPA,HNEPP,FX6 - 203(a)(2) SPOUSE OF LPR EXMPT,ACR,8312019,U,910884940,68690171946,5XFO12CDV6JPJ1UZFP9D,WR4A8N6BQ63T,FRP1G8SPD9BKDO8491FD,RQEHFXOKOZWDKUZLLTMS,SFTYLASNDFQLRKZECIZJ,8497
A564676995,GAB,1252012,Lakin,Kellie,,Evia,,,,4011940,ARYPO,ZCIXW,SY6 - SYRIAN ADJ UNDER PL 106-378,HTA,3062012,F,421450571,16090218478,IEIWPYGQP2RCD9O4G2J8,IN8GLJ2E39GD,Z1598G8TEKYTV7N6SMP7,WADSKHSGVVVDBPYLNYQG,BNNAAGFHVUTZOHUBEYFW,30066
A738712104,UMU,3012016,Harvey,Tish,,,Roscoe,,Eloisa,6191987,LQJZO,MTCWU,FX8 - 203(a)(2) CHILD OF FX7,KVB,1092014,M,738947690,59531106158,Z6RVH9131G0ZIYX5J4G5,5C35GN2TBHU4,G4ENANRTGUBQORG6512C,SEOERGPLDYLXFPLTJZED,QTKRGVCWSRLDAMBCNJWG,28086
A679812130,VTF,12252018,Grimes,Carson,,Marylynn,,,Terrell,10091951,QXYJB,XXXED,K11 - AZORES NATURAL CALAMITY VICTIM,NPF,3112013,U,670503947,15944838797,UC4DDSV0956V6GYOXXUK,VC95Q0A3COYB,O951FV3RT9FLY1F4YLOV,IHZOFSIPSTDOMZVQSSBE,PVSFNDOUAZVDHWTPDXWG,373359430
A648906609,MVM,7022017,Willms,Keturah,Pouros,Samara,,,Roderick,1151981,WIFPW,GYFIH,U2 - SPOUSE OF U1,JVB,6262012,M,539612523,75853583195,7KF7W3WFMQBFB67K2148,X89CKPFC3N1T,LV2U7T9UMMZK74ENZ0HT,DAKVCBUHOVELGGACRYUM,LCMPAAWVGCPWRBUVGQUM,2732543022
A195180822,HCC,7312014,Cronin,Augustus,Kshlerin,Shanta,,,Karissa,12011946,YLZLC,FYNOZ,F17 - 203(a)(1) CHILD OF F16,QKS,5022013,F,654018909,35604146173,UT06OUS8CWU7SJ0ILH0Y,GK4VUZHW8Q1O,U8D368GKQEFXMCDQEMB7,DZZEJQOPUSKBVNBSFRFT,CAPRTNTORQVLHOTIEEID,601256
A556028442,OPL,10272015,Armstrong,Filiberto,,Neta,Lenard,Greenfelder,,10301932,MRTVI,DFGEO,CB1 - SPOUSE ALIEN GRNT LEGALIZATION,CBY,11082016,U,344597488,26476683515,DJ5ZNL6I4D8BUZD81S1C,HL27J0XH9PXB,W6UFQ5R1UCK3P10R2GR3,LDMKLKOBEFBBOXTFTMZW,EQJQSXGGSEZGCHDOTCSC,383584
A316618815,UCF,8312017,Cummerata,Rudy,Dibbert,Tawana,,Tremblay,,8151951,QOHUV,DDAAH,Z41 - ADJ PVT LAW(PREF IMM/NON-PREF),QOG,4302015,F,330456394,18308643629,W3SDZQXRW2Z6C3QU2JE2,GR64HEYXLB74,0JBTUQ5TN6ALH3FHQ369,TOCQBPEWEVEQAQVBAYTM,WNOWBSPWHPOIBRFRPQOT,6223
A792195767,VWU,12192018,DuBuque,Russel,,Roberto,Frederick,Corkery,Beverly,6181944,OQUJK,CKXRX,4D - REFUGEE,JUJ,5192020,M,652410698,21991056270,7EI27AJINIK35EK3DENC,I6C78ROCF8VE,QC3S46AVA3PQADK5L384,LVIWVLVQCDXFNYLJOJON,UMXZRFQYRUYYINOVTVDD,86726
A775608643,RUK,2262018,Schiller,Abraham,,Arica,Federico,,Carissa,11151986,BLVLL,OSEVW,N5 - EXPERTS EMPLOYED BY NATO,XSX,5262019,U,752430233,55265432389,DEAE173RKGZ7JAFBXLV1,NM5RQ34X0FAB,YGVC4H76MQYORX1VN0DM,YLTWOPLCHNLWADNPEVOF,REYBBGCAJGDJIOBVGRYP,3930
A657938583,ZNU,10082014,Schaefer,Cole,,,,,,5011981,KHPGG,LBBKL,E28 - CHILD OF E21/E26 or E22/E27,VSC,8162014,M,936439823,31396460440,QJXG1VM9111W64EXMT7F,O17PUPA2LQEZ,NJSWE7W0F44DCTBO7C8C,RAOKVVLFGXNFOXIWOKYA,IBXPKDVAKEZOXMNECBTN,91378
A193104683,HPS,4102014,Grant,Theda,,,Kieth,,Leeann,8251982,EGHSV,ZXHAV,SH2 - ACCOM SPOUSE/CH OF CL SH1/SH6,QKU,9142012,U,461868203,65880003991,DE6IZNFB3JMKTIOKA736,55NQ3HIUNDYA,0Z5L8DK3VF8R8Y0RBWKQ,FBQWBBSLCXFZFQJERPTV,GSIUITAZDROIGCUYFWPM,6916217337
A314669950,MCQ,11232019,Konopelski,Hai,Ortiz,,,Sauer,,5251937,LEDLD,WXYOY,V2M - 3RD PREF UNMAR SON/DAU OF LPR,RZX,10242018,M,478951360,21967769150,4A68LUQLI932ZQPHWG9O,59K9F6AAMG9C,M2306BZP47EP72S9AQEX,ZRYKDUKLPWPNPNETMWKA,VWJQCMJGHZQKKYRXBEBM,6514
A990623687,TGK,4152017,Marvin,Desmond,,Elouise,Damien,,,5091971,DQBQT,VDHID,N4 - OFFICIALS OF NATO,MCS,9292013,M,430255701,39591885259,T6SRZ7ATT3IN04QP4FD2,ZLW683QW1U85,BL5XRZL8H2H0D1OM0EWW,REBAFYNJYULXUJUDWDDO,TLNNJBXMDVTQPOFXNIYB,349758039
A216859708,KKW,8082012,Brown,Monroe,Blick,Lashon,,Miller,Zona,5291944,HRAID,LKCRY,"EB5 - REG CTR APPLICANTS, IMMIG INV",XQR,2162020,M,417017942,66677437051,E5EDZ4L0FV8VIEO9DM53,Z4YZT1LSYU19,S722RN4VAY16CHCILZP0,UTFRQDKUJRHVDRIEXTYM,QVDRYQAVKSYFRTLBUASM,206685
A461145258,VLL,5272015,Wolff,Elfrieda,O'Connell,Sharlene,Garfield,Gutmann,Tyler,1061968,DZLJB,HVXZD,Q2 - IRISH PEACE PROCESS PARTICPNTS,NTB,10102019,U,110717494,38389009183,4ALKRZ3SNXTNT63M8RC6,SHYJVZYQ319I,MOL9OQCTOR5GE01SBL96,POYVCAOHIWDAUVDFTPFT,UVSPNIZSBZNCHWSRJBTG,4020211062
A784193928,ROQ,3252018,Marquardt,Carrol,,,Tristan,Huels,Michale,1101953,GLUPF,QUUDH,LB1 - SEC 112 SPOUSE OF LEGZD ALIEN,DXJ,3062018,U,598017581,64363249963,TCDUVN4H05K53HT8L8CZ,OBZQ52JYM0Q9,XZ1C98MA42LNF3XIWUE4,BPJHUVTOZXNKNCMTNTCE,NKYSWWBDTPTIOOJFQYTH,8911484882
A976770242,XOU,9142019,Bahringer,Evalyn,Leannon,,,Schneider,Billy,12101983,GRMKK,JSSEU,AS6 - ASYLEE,NAP,9082020,M,657583957,75964670673,S5N3NZB3ABY64VE070DQ,NBBI01E6LKFI,PRT4L1GDV8YGVM84X5SU,TKSETJTCUUWGWPXFSUFC,WMMSUIOBQQLHIEEGPOFZ,711728
A481380819,CMT,5072016,Romaguera,January,,Drema,,,Hiroko,5101999,ZDRJK,CVADF,CX2 - 203(a)(2) CHILD OF LPR EXEMPT,UZI,10262015,U,179729593,36346498935,EOII9X9ESB7DS5BCLO08,J7NNF8VE1RQH,JIVC54R962KTBPHXUO5I,WSEXMNNHUFOHRTGSYGMC,NFZWPOUWELRNFRJPYJBG,76270474
A963748955,QVA,1122019,Gleason,Maurice,,Olimpia,Long,,,2131974,UVKCC,AHGQO,E57 - 203(b)(5)(A) SPOUSE OF E56,RAV,8232020,F,570628180,86034501776,5VS99G7TSVDTU4Q9RZTJ,QDMUOH2QA656,EK293KYPHEU0RLQ76KMT,TVSVRVGSOIJHUNBTTBNK,ENBLSXWNMQQRRYAYUTJR,1456350
A923683507,NTR,10062018,Bartoletti,Stephenie,Adams,,Emmanuel,,,6021932,UERAG,QUWCX,SN3 - UNMAR S/D OF NATO6 CIVILN EMP,MHG,2042018,M,996779108,79165040569,W4JHDNG5Y4C9QNK9QS3K,LHDN9PFL786C,DTPD6KM15CM4BNJY74M1,WJGXXVPNAFCETYLSDUFB,IXGDNMUASPUVNATPEKIO,889030
A634385664,RUD,3032013,Doyle,Katherin,Powlowski,,Heath,,,1181962,ISVOA,ICUUE,B25 - CHILD OF B24,SGT,9082014,U,880741695,28482878090,VWEJR999PBG7E5FHK9TK,3QML16L1SHQN,ERSKDMB3TYJBRH74I172,LXYQXCGMJNCVKRPORTBD,NLZBBQHJKTLRHXXUGFKX,52889
A930325081,GSU,7162014,Daugherty,Regan,Gusikowski,Roselle,,,,7211939,FQNJQ,UNOEH,HH6 - ADJ - HELP HAITI ACT OF 2010,GOC,3132014,M,986619048,95177911386,791E3E787DKX7IEEKYBC,WD99XMBLW8B7,WWD3L00C6N56QLJRAFYA,FJKMFHDHUVPBMAFMVUOD,YPSSYTFQDYFQNMKHKGXC,2394
A780114412,VQH,6082017,Heaney,Brice,Deckow,Pansy,,Price,Jean,11271966,UNXKY,GPYBL,"E35 - 203(b)(3)(A) CHILD OF E31, E32",PHC,11172014,F,968038457,57966736314,ZQ6H1QYMUOT59BKG45D8,Z7ETYQPA6MD3,F5P9E6HJHS5PPS41YHIG,DFIRWQPGMORSNFQBMARP,YFSWBOSZKUYANFQCQFOB,222611723
A347986848,AKO,4262016,Skiles,Lilly,,,Osvaldo,,Glenn,11271969,LFPBP,RVAMW,Z3 - REC ADM PERM RES PR 7/1/24,XSB,2172016,U,243365498,23966766421,3F7V1PL8Q33ZEWMX5HTZ,Y2AKCDKCV8A1,MOH2O77ELYT9T5ID445O,HQIZUFGYGDSOBASNMJRQ,FXBDMCEZSOBGAGJHTVAT,17971309
A262379081,HMP,7102018,Bahringer,Maryetta,,,Dalton,,Natalya,1271937,XECGL,SMANG,RRA - REFUGEE RELIEF ACT,USF,2192018,F,785151916,23182007991,KKT839IE6WNUQ1Q3G1MB,XD9JB2Q7VY8T,H89ORDQA4YSO0ZQ8LGI4,SHTHTTJWIDTUILVMEJRJ,VFUJWCQIYJWULJGCSUSB,891243563
A719892506,KLK,11192011,Fritsch,Marry,Casper,Queenie,,,,4251939,KDLCM,ISPBQ,HH6 - ADJ - HELP HAITI ACT OF 2010,DMG,7042015,U,619754981,49108539823,RWP18ELVCL37DODGY559,Q0U1E3VJ3LFY,DWKS950XMHYE64H1BJ9N,JZTBYSCIAYMKPKHNDKEJ,EMUNQFRZZWJWCQNLSRJP,1123200
A255913629,VLI,12152013,Klocko,Dylan,,Rosaura,,,Tim,2041990,DWGEG,IXDMK,P2M - LOST CITZ BY FOREIGN SERVICE,WXA,1012017,M,678010433,19521372366,KBVUBK9O51UVOTBOG12L,5WYDOVIP82UF,0LJ5YKRM54Z9XWSCV8MR,DGVMSZNLGANQDWTFOESH,YHIKLFZHCZZKWTNOIWZU,7965086
A935751388,RTO,8282012,O'Conner,Fredia,,,Claudio,,,6291956,FPHWY,WQXPK,A17 - 203(a)(1) CHILD OF A16,KVQ,9102020,F,210943410,19009521393,YYUMG6RT85USORO13G1D,S32JYY0EX0Q1,H4A5ZDRX5RLB9R8QEL92,UHIIOYOSUSURWQRYZQKF,VDEIBIHTAJNUTGMBUUAM,76743585
A112920363,KOA,4202018,Klein,Yvette,,Shizuko,Ozzie,,Mose,3241983,SHFBH,JNEWU,T51 - 203(b)(5)(B) EMP CR TRGT AREA,ZFK,12282015,F,263395497,82635183139,1K7YGZJL3GMW6HF2COI1,2MBDARZN39NI,3N8XAJJ4ERXXMMME379R,AIPYBXGMSYCATNRJCKJD,CCMZNSXEURNTONNRVNFD,15854662
A266898678,HEQ,1032012,Abbott,Issac,Greenfelder,Aurelia,Sidney,Hoeger,Lore,3212000,WJRYN,UXHEV,F33 - 203(a)(3) CHILD OF F31,PMM,12102012,M,751134986,80351463247,XWP2LY64HOXPLH69Z6P1,EQ5M3ZO4AE5V,S6O2VGKXHSW748FA5NXA,EFIWMENOZPVLSSRTJTIG,TCTCGLTTIGSMBKUNEAQT,527305
A200613707,VGW,10082018,Hodkiewicz,Karina,Gutmann,Loida,Kennith,Zboncak,Hedwig,10181935,SJKMP,IQBGI,IB1 - SLF-PET SPOUSE OF USC,KMY,3132018,F,953079924,22035216553,P0ZU8AER72O0KF6WSQK3,XFE2HVV9DS2Z,YJ3PV3ML30BRH17ONXI1,ICZCDYUVZZFYKOJJXXAT,GFIYIWUXXEOWQKOKNEQL,40043866
A555314651,EYB,9202020,Kertzmann,Son,Graham,,,Kutch,,9241961,KVLVA,PJNBO,OP6 - CTRY DIVERSITY PROG. (ADJUST),DOD,11282016,F,511624271,93368866721,7INRQIMZFUCT2S63DX10,HN9X7VN7KB3S,11JQH3ZHY0EY2OVRY2FN,CVVMHBQOSMNCMSILYNCT,CQBEDBMCSFKLLGCAAIGM,646562
A324920643,JNX,6032019,King,Terica,Hamill,Cherryl,Rodrick,,Lettie,2231960,SMEKZ,NZXSV,B37 - SPOUSE OF B36,NFV,8182020,U,737554661,13653795721,TV0Z24SSUPJ4272FJLAI,RJE5NWW84EVR,TKS05E5K0EQYH3HD5ZND,QFGUONJOMRPFOIWFUUWO,QFBIIKGZLRWMTLZMGGLJ,96364
A798980019,BJW,6172016,Cummerata,Hayden,Donnelly,Maura,Taylor,,Socorro,12301934,AQMWX,RUBWX,1B1 - H-1B1 SPECIALITY OCCUPATION,LYU,12182013,M,381231683,96308356450,V7X11FPIJNCZPQ8P26SV,80HQ44LKSZCM,T7JZG10GM7F1IQ70OS9M,GJVWVUHZDECYXDDHATOZ,WZJWYDYKKIGXOWDPFZBZ,2039304097
A357842716,SFN,8122017,Gerhold,Thaddeus,Pacocha,,,Tillman,Elease,3121961,GTHXQ,STPOE,E28 - CHILD OF E21/E26 or E22/E27,GCJ,10262020,U,484640565,78208026053,LZ3PN07Q20AVSO0QJACS,NOBS06805U8F,XDJ8P85SV8ZUPAVKB9OH,JVVRJAGLEJGTPAOUDXFQ,GRNYBWIMBXBOXEHMFGOI,737988566
A606327213,CYX,2282013,Rosenbaum,Anjelica,Hudson,,,Muller,Burma,12231950,GYBVY,GOEOK,P56 - BROTHER/SISTER OF CITIZEN,UTJ,7172018,F,264077670,95492751982,FQ5MM8W626JPM7BL79JC,9K94ZYRHYD5V,2PZJGVUEV197GJ41M1I8,SFSDGDGURBBLUCKOCWWG,IMQJKEYSWKVVSBBVHJVG,9382591777
A107104845,MQE,8232016,Rodriguez,Claud,Treutel,,,Heidenreich,Bambi,8051965,YBTUP,UUPXC,I58 - INV PILOT PRO CHILD ADJ-TARGET,APN,2292012,F,546293031,81161620220,GXQP6VUR9O3E9Y00SPZ5,1VDAKCB9I70D,6SI3IUSTIQKMDQSY17X9,OYZNCDYHMFZIMJSPPUKN,SIKHBHBRPSYUMIVJGWDQ,5264
A672254472,NJV,12062015,Abbott,Eula,,Lu,Mary,Willms,Carolyne,4291984,ORAFV,MWRQO,DE - PAROLEE (DEFERRED INSPECTION),GSY,10072019,U,997199581,38365713239,VOAKYYMV50NS71553O9G,LCFO86V76QXG,2WM79NX3B9SLL263TCAI,SVCOLIUEHXLJGMQPAMGH,WOZYFPKXRDPFJBHTMRMZ,3655
A835007113,QAF,12262012,Smitham,Lang,Sawayn,,Marco,,Elisha,9221945,RIOVT,OORDA,C26 - 203(a)(2) SPOUSE OF LPR,ETE,6302013,U,212050431,54386525227,V4HBA5O9X1IHRUXF42PA,8LYMPT1NA7EF,OX8NJQS0DIS708KKTX1V,KAVULMUQZKFLRKUALRPM,MZMWDUUCIPQYIVXTANYT,24598852
A610006996,SQB,7162012,Simonis,Robert,Muller,,Cyril,,Celsa,7111982,KXBVU,BKKSV,E57 - 203(b)(5)(A) SPOUSE OF E56,AYC,5192013,F,241320286,70759760337,8BVW6UDLR5P1P90IQ5D1,DM96XMNO34SW,RO8373X5Y7HZQHJGQH3L,EPLQWHCPNDOHKAUUHXFD,NZNMTUPEOPNEWSZFQNNQ,4083
A111403715,OYX,8232018,Shields,Hong,Stracke,,,Kulas,Emilee,11211969,VMQQV,TUUJN,MI3 - NOT TT CITZ-CONT BEF 1/7/84,ZHV,6132016,F,281522258,96475599945,HGWGM4J00IN553YE1KWS,JHLE9HJ7JUQ2,VNEPWPO799EU2D8PUCUR,MIVDJSEEIMWTUQUVKGWU,JGGNYPVYTLTKEJMKSKFA,930392
A956711911,LBR,10182013,Ullrich,Archie,,,,Sporer,Rashida,12111989,RRAAA,VSWRJ,C58 - 203(b)(5)(A) CHILD OF C56,RJM,4252017,M,571501305,30596607407,GGUM24Q4MF1O0ECS1XQS,87PC5WRPAXVJ,HEEDHZI88UL51AGTC8ZF,DSKONAGNLXHPMFMLWBCS,FQGLABVCDMPMWZHOHLRJ,9480248
A567905861,JJO,10052014,Daugherty,Glendora,Crist,,,Bosco,Clemente,11121962,ISVTC,MOMSH,Y15 - ORPHAN UNER 10 YEARS OF AGE,BII,8292013,F,837829452,15746219137,FPM36CZPRIQA37L4GZHB,PJND9ZH7QL8Q,1VCZ1FQGZ0BX2RFUVQ6Q,XIRSELAEWCSQWWKDIGDP,HSPKKLEIXJWYCFBKWWAA,87540
A880725815,PIC,5212019,Gulgowski,Abraham,Veum,,Alfred,Wisozk,,10191954,JWGOS,GFWID,P1B - ALIEN WITH ENTERTAINMENT GROUP,UWO,3242012,F,684469010,77053477113,4NREPGYD87XE9L7UQV7T,2C6H5WCZKLIJ,5FW0P7DG9UH1TYQGDYYL,YQVDJMYAXLENJXKGQSCH,XOSINQDEGKSFIQCFFFUZ,250035
A525801134,SAZ,3132015,Lindgren,Roselle,,Christel,,Conn,Ozell,9031988,CVIQA,DOKYP,W16 - 245(a) PERMANENT RESIDENT,TUI,12162012,F,299519025,26655380140,A2OG37ISG3QCI52VJA26,B1JRBF9BB284,RVV9C7QVY9QB3I7P2WZU,LXNLPCBRHNBKRLNSJMPJ,FXFVEYKQMAXWRQTPYBFV,5632
A936912132,NUN,4222019,Jacobs,Ardelia,,Phebe,,Brekke,Cristine,8161948,MLEZP,CZSFU,E2 - TREATY INVESTOR/SPOUSE/CHILD,OZC,1232019,U,417364505,60968319470,8WVKRGZP8UBLI8P71P31,SBUFCT2Q3W9Q,4VZ6CYR5PHNP4MX3R2TL,UKFQPMVJVUESRVBVHMIB,KJHKXPDLMDZEPCBRDBWB,7854
A882350132,DDM,10152014,Leffler,Dallas,Runolfsdottir,,Randal,Hane,,12191959,JXYJV,QVRJC,Y13 - CHINESE REFUGEE,MGO,5282017,U,978924014,34632040601,HV22QRR7AK5VN2O7BVJF,U6FQ9QTXHDN7,R6C17FICIY0POB9URQ1B,EMUPJQIZOECWTFEQOKNX,QESHXYGUZHBUALRXCNTC,6945836
A101031579,PIL,4042017,Boyer,Larisa,,Melodee,,,,4221943,PSMFA,GEXGU,IB8 - CHILD OF IB6,SYK,12232015,U,461614536,60014347412,O7DQCWKIFMK34UY0L18K,JMT228DXPTW8,EM7EF2J54US9SGED5ZVI,NBXCCXPJAPSVLNGFYRWL,KUEDFFWZFPQEQSHUEDAW,530010647
A995112047,KEZ,6242012,Zieme,Marcelle,,Sage,Michale,Carroll,,12221958,ABGNZ,DCBWR,V1M - 3RD PREF SPOUSE OF LPR,HSV,7092017,F,603299835,18018758141,GBAGVY26B94C711ZRIJP,UQUSZPHQ9U18,K2FPGY6R1SK09SIYOQ94,KXWQYFUFWZGHVQQNJQNG,KEFAJEKDASUYMCHYWZXC,2337582
A938031661,HYQ,5182015,Zieme,Robt,Kautzer,Arminda,Nathanial,Kozey,,2151985,ZDULM,ITYGO,SE1 - EMP/FMR EMP US GOVT ABROAD,ATW,11192013,M,306535992,40169303580,454CDL1CTOE3N756OOMR,U9CTTXY8RO5C,BF4V67RP73B5HOUF2XGY,ZVWGPITBBEMTEYFNMSWB,WUSRAKNRDGLYFPUTCWJO,2699629915
A929237754,ZOT,8142012,Walsh,Derick,,,,Kreiger,Mistie,11101975,MVGVV,PJMSV,EX2 - SPOUSE OF EX1,KAH,8282013,M,473584123,20141738019,PR6TYEPBA76DN9YIJ3E4,EN9NDN40JPDI,2OW9LNDCT335YCIT9M14,XLNBZIMYQBJXDOLGAVEC,VXJAFCYJNDBANNWUCBVR,4453300382
A561894182,MYP,11122014,Kuvalis,Augustine,Rice,Joannie,Collin,,,8191990,QWYCM,ZVFBZ,P63 - CHILD OF ALIEN CLASS P61/P66,YGD,6132013,F,665449371,48841923344,VT0L6YDF51QIUI6S28IZ,QL7GEOGG2H49,1JK99X0FBJ0FMPQCLB3D,SIJMRSSUFSVWJGLWTQQO,ZGGPVZOONCUZKLKVFWKK,91691132
A390922665,BRY,12112013,Hilpert,Janet,,,Lucius,,,4231999,ETBQG,AVFXZ,6 - REFUGEE IN THE UNITED STATES,IBP,1182019,U,231492085,77879298758,72IKFHV8PPWP2G080CA8,PVLU82YSJG0I,G8JBF3B38UTQSTM0U9ZX,DGFEHGERAMTVLISLEOFS,RHSBUAKJSTDORXZWSAUZ,76316497
A433588241,QAV,10282013,Rohan,Jaye,,,Gregg,,,4181949,KJNUA,YEJLJ,EX7 - SPOUSE OF EX6,NTB,9042016,M,480371597,73359561426,TH7YMWBPWP1PNQ33J2YT,U8C09J6INRC1,Q9LS29C1JCDK8B8MFD6Z,TFZZNLGAECCDYZMFILNI,IYHVQPATMUVPGRHQPVKF,9114386
A217776101,IFH,12072013,Hoppe,Julian,Hudson,,Lino,McKenzie,Yevette,12171946,GJNAV,LTQTM,IB8 - CHILD OF IB6,CHW,3092012,U,785167620,30385489746,45VPMYZZ48ZXH6ZI1Q5K,UBE06QG2NZ95,8A3L6WVIT0D13WH9VGZV,YOHCHWOSDQIFZBZNMDJV,ZDNQAJDZUPSMYUCXWXXW,67149
A119343237,VQQ,3292018,Cassin,Daniella,Smitham,,Young,,Jacquelin,5151963,UHOKC,AMINK,A19 - 2ND PREF: PARENT OF USC,PLS,10312017,F,106768406,92327877736,KXPA2N90WJRTB1K2M802,A4DPUH7X3NF5,C0ZX455L8SYCOMX98BEE,RYGYBCDNUTZDSBQZAOTD,SAFPSNTKGQQUGYTEKJZN,59626480
A697639179,PYB,7142018,Conn,Gino,,,Refugio,Mante,,10061950,RVTPI,JHHYA,SN9 - SURVI SPOU OF NATO6 CIVILN EMP,XPW,10252014,F,187386213,92364461483,K0HG8EX2ET1JG7KXBW8W,XFIHPN4WV62P,VLNU6G4AMCSTP1B67ZFZ,HECHAUWNAGJCYVBTBLUJ,IIMENTMVVHTELSMYTHRE,5375
